ID;Edad;Estado_civil;Genero;Zona_geografica;Ingreso;Numero_entidades_sbs;Tenencia_Saldo_rcc;Tenencia_prestamos_rcc;Tenencia_hipotecario_rcc;Saldo_tc_rcc;Saldo_prestamo_rcc;Saldo_hipotecario_rcc;deuda_rcc;Tenencia_TC_rcc;Nro_bancos_tc_saldo;Cantidad_productos_rcc;Nro_bancos_pld;Nro_productos_activo_E1;Nro_productos_activo_E2;Nro_productos_activo_E3;Nro_productos_activo_E4;Nro_productos_activo_rcc;Antiguedad_cliente;Tenencia_ahorros;Tenencia_cts;Tenencia_depo_plazo;Tenencia_FFMM;Saldo_vehicular_prom;Saldo_hipot_prom;Flg_transacc_atm_3m;Flg_transacc_ventanilla_3m;Flg_transacc_bca_internet_3m;Flg_transacc_bca_telef_3m;Flg_ph;Antiguedad_ph;Antiguedad_ahorros;Antiguedad_depo_plazo;Antiguedad_cts;Antiguedad_pasivos;Nro_productos_pasivos;Antiguedad_pld;Antiguedad_activos;Nro_meses_rcc;Tenencia_ahorros_6m;Tenencia_depo_plazo_6m;Tenencia_cts_6m;Tenencia_FFMM_6m;Nro_meses_visitaOficina_5M;cant_vecesvisitaoficina_5m;Target_mora
1;63;Casado;Femenino;LIMA MODERNA;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;1;0;0;0;0;0;1;1;0;0;0;0;109;0;0;109;1;0;0;59;1;0;0;1;3;4;SIN ATRASO
2;58;Soltero;Masculino;LIMA MODERNA;2500;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;107;1;0;0;0;0;0;0;1;1;0;0;0;30;0;0;30;1;0;0;96;1;0;0;0;3;3;SIN ATRASO
3;76;Casado;Masculino;LIMA MODERNA;0;3;1;0;0;0;0;0;0;1;3;1;0;1;0;0;0;1;240;0;0;0;0;0;0;0;0;0;0;0;0;113;0;0;113;1;0;0;98;0;0;0;0;0;0;SIN ATRASO
4;48;Casado;Masculino;LIMA MODERNA;10000;4;1;0;1;0;0;0;0;1;4;2;0;2;0;0;1;2;215;1;0;0;0;0;278080;0;0;1;0;0;0;34;0;0;34;1;0;33;32;1;1;0;0;0;0;SIN ATRASO
5;36;Soltero;Masculino;ORIENTE;13000;6;1;1;0;0;0;0;0;1;6;2;2;2;1;2;0;2;35;1;0;0;0;0;0;0;1;0;0;0;0;35;0;0;35;1;14;14;23;1;0;0;0;5;10;SIN ATRASO
6;52;Casado;Masculino;SUR;2500;3;1;0;1;0;0;0;0;1;2;1;0;1;0;0;0;1;183;1;0;0;0;0;0;1;1;0;0;0;0;82;0;0;82;1;0;16;96;1;0;1;0;5;8;SIN ATRASO
7;46;Casado;Masculino;LIMA MODERNA;12500;5;1;1;1;0;0;0;0;1;4;3;1;1;0;0;3;3;90;1;0;0;0;0;0;0;1;1;0;0;0;69;0;0;69;1;0;0;63;1;0;0;0;1;1;SIN ATRASO
8;86;Casado;Femenino;SUR;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;SIN ATRASO
9;49;Casado;Masculino;NORTE;5500;9;1;0;1;0;0;0;0;1;9;2;0;1;2;1;1;2;240;0;0;0;0;0;0;0;1;0;0;0;0;73;0;0;73;1;0;0;96;0;0;0;0;5;8;SIN ATRASO
10;58;Soltero;Masculino;LIMA MODERNA;10000;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;282;1;1;1;0;0;0;0;1;0;0;0;0;282;195;129;282;3;0;0;98;1;1;1;0;3;3;SIN ATRASO
11;96;Otro;Femenino;LIMA SUR;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;SIN ATRASO
12;58;Casado;Masculino;NORTE;500;4;1;0;1;0;0;0;0;1;4;2;0;2;0;0;1;2;236;1;0;0;0;0;0;1;1;0;0;0;0;70;0;0;70;1;0;68;97;1;0;0;1;5;8;SIN ATRASO
13;55;Casado;Masculino;LIMA MODERNA;6500;3;1;1;1;0;0;0;0;1;2;4;2;0;4;1;2;4;228;0;0;0;0;0;0;0;1;0;0;0;0;35;0;0;35;1;0;0;96;1;0;0;0;2;2;CON ATRASO
14;62;Soltero;Femenino;ORIENTE;8000;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;248;1;0;1;0;0;0;1;1;0;0;1;75;248;66;0;248;2;0;0;87;1;1;0;1;5;8;SIN ATRASO
15;40;Casado;Femenino;NORTE;2500;2;1;0;0;0;0;0;0;1;2;1;0;0;0;0;1;1;82;1;0;1;0;0;0;0;1;0;0;0;0;82;2;0;82;2;0;0;83;1;1;0;1;2;7;SIN ATRASO
16;65;Soltero;Femenino;LIMA CENTRO;500;2;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0;1;223;1;0;0;0;0;0;0;1;0;0;0;0;59;0;0;59;1;0;0;98;1;0;0;0;2;4;SIN ATRASO
17;41;Casado;Masculino;LIMA MODERNA;2000;4;1;0;0;0;0;0;0;1;4;1;0;0;1;0;1;1;242;1;0;1;0;0;0;0;1;0;0;0;0;42;207;0;207;2;0;0;98;1;1;1;0;2;2;CON ATRASO
18;45;Casado;Masculino;LIMA MODERNA;11000;2;1;1;1;0;0;0;0;1;2;3;1;0;0;0;1;3;90;1;0;0;0;0;0;0;0;0;0;0;0;90;0;0;90;1;0;0;84;1;1;1;0;0;0;SIN ATRASO
19;30;Soltero;Masculino;LIMA MODERNA;11500;3;1;0;0;0;0;0;0;1;3;1;0;1;0;1;1;1;96;1;0;0;0;0;0;0;0;0;0;0;0;96;0;0;96;1;0;0;45;1;0;0;0;0;0;SIN ATRASO
20;46;Casado;Femenino;LIMA MODERNA;1000;5;1;0;1;0;0;0;0;1;5;1;0;0;0;1;1;1;182;0;0;0;0;0;0;0;1;0;0;0;0;106;0;0;106;1;0;71;95;0;0;0;0;2;2;SIN ATRASO
21;31;Soltero;Femenino;LIMA MODERNA;2000;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;150;1;0;0;1;0;0;1;1;1;0;0;0;95;0;0;95;1;0;0;59;1;0;0;1;3;3;SIN ATRASO
